PLAYER_NAME,GAME_ID,GAME_DATE,TEAM,SEASON,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,TOV,STL,BLK,OREB,DREB,PF,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT
Alperen Sengun,401809243,2025-10-21,HOU,2025-26,49.0,39.0,12.0,24.0,5.0,8.0,10.0,11.0,11.0,7.0,4.0,2.0,1.0,4.0,7.0,5.0,9.0,0.5,0.625,0.9090909090909091
Alperen Sengun,401809947,2025-10-25,HOU,2025-26,38.0,17.0,5.0,18.0,0.0,2.0,7.0,10.0,7.0,7.0,3.0,3.0,0.0,2.0,5.0,5.0,3.0,0.2777777777777778,0.0,0.7
Alperen Sengun,401809971,2025-10-28,HOU,2025-26,30.0,21.0,7.0,11.0,2.0,2.0,5.0,5.0,6.0,6.0,3.0,1.0,0.0,2.0,4.0,0.0,25.0,0.6363636363636364,1.0,1.0
Alperen Sengun,401809986,2025-10-29,HOU,2025-26,35.0,18.0,6.0,8.0,1.0,2.0,5.0,8.0,8.0,9.0,2.0,2.0,2.0,1.0,7.0,1.0,24.0,0.75,0.5,0.625
Alperen Sengun,401810001,2025-11-02,HOU,2025-26,31.0,16.0,5.0,13.0,1.0,3.0,5.0,7.0,10.0,9.0,4.0,1.0,2.0,1.0,9.0,3.0,24.0,0.38461538461538464,0.3333333333333333,0.7142857142857143
Alperen Sengun,401810015,2025-11-04,HOU,2025-26,40.0,26.0,10.0,20.0,0.0,2.0,6.0,11.0,11.0,6.0,3.0,1.0,0.0,2.0,9.0,5.0,9.0,0.5,0.0,0.5454545454545454
Alperen Sengun,401810031,2025-11-06,HOU,2025-26,35.0,20.0,6.0,14.0,0.0,2.0,8.0,10.0,16.0,7.0,6.0,1.0,1.0,3.0,13.0,1.0,10.0,0.42857142857142855,0.0,0.8
Alperen Sengun,401809774,2025-11-08,HOU,2025-26,36.0,25.0,10.0,22.0,1.0,6.0,4.0,5.0,9.0,8.0,3.0,1.0,1.0,3.0,6.0,5.0,-12.0,0.45454545454545453,0.16666666666666666,0.8
Alperen Sengun,401810046,2025-11-09,HOU,2025-26,40.0,23.0,10.0,15.0,1.0,1.0,2.0,3.0,11.0,7.0,5.0,0.0,0.0,4.0,7.0,5.0,21.0,0.6666666666666666,1.0,0.6666666666666666
Alperen Sengun,401810073,2025-11-13,HOU,2025-26,28.0,16.0,6.0,13.0,2.0,3.0,2.0,4.0,13.0,6.0,2.0,0.0,0.0,5.0,8.0,1.0,1.0,0.46153846153846156,0.6666666666666666,0.5
