AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,IS_HOME,MATCHUP,MIN,OPPONENT,OREB,PF,PLAYER_NAME,PLUS_MINUS,PTS,REB,SEASON,STL,TOV,WL,OPPONENT_STD,OPP_DEF_RATING,OPP_PACE
0.0,0.0,5.0,2.0,1.0,0.5,9.0,5.0,0.556,4.0,4.0,1.0,2022-10-19,0,HOU @ ATL,22.0,ATL,4.0,3.0,Alperen Sengun,-6.0,15.0,9.0,2022-23,0.0,6.0,L,ATL,115.4,101.56
1.0,2.0,7.0,2.0,1.0,0.5,13.0,9.0,0.692,10.0,4.0,0.4,2022-10-21,1,HOU vs MEM,27.0,MEM,5.0,3.0,Alperen Sengun,13.0,23.0,12.0,2022-23,1.0,1.0,L,MEM,110.7,101.5
2.0,1.0,6.0,3.0,0.0,0.0,9.0,4.0,0.444,2.0,1.0,0.5,2022-10-22,0,HOU @ MIL,23.0,MIL,3.0,2.0,Alperen Sengun,-8.0,9.0,9.0,2022-23,1.0,1.0,L,MIL,110.9,101.45
1.0,3.0,5.0,1.0,1.0,1.0,12.0,6.0,0.5,1.0,1.0,1.0,2022-10-28,0,HOU @ POR,25.0,POR,6.0,4.0,Alperen Sengun,-8.0,14.0,11.0,2022-23,0.0,1.0,L,POR,118.0,99.25
2.0,0.0,6.0,2.0,0.0,0.0,10.0,6.0,0.6,4.0,4.0,1.0,2022-10-30,0,HOU @ PHX,29.0,PHX,3.0,3.0,Alperen Sengun,-1.0,16.0,9.0,2022-23,1.0,1.0,L,PHO,112.3,98.83
3.0,1.0,7.0,0.0,0.0,0.0,8.0,4.0,0.5,6.0,6.0,1.0,2022-10-31,0,HOU @ LAC,30.0,LAC,2.0,3.0,Alperen Sengun,-8.0,14.0,9.0,2022-23,0.0,2.0,L,LAC,114.09451776649748,99.78598646362097
2.0,0.0,10.0,1.0,0.0,0.0,13.0,8.0,0.615,11.0,10.0,0.909,2022-11-02,1,HOU vs LAC,33.0,LAC,3.0,6.0,Alperen Sengun,-13.0,26.0,13.0,2022-23,1.0,0.0,L,LAC,114.09451776649748,99.78598646362097
5.0,0.0,2.0,0.0,0.0,0.0,9.0,8.0,0.889,3.0,1.0,0.333,2022-11-05,0,HOU @ MIN,20.0,MIN,5.0,3.0,Alperen Sengun,0.0,17.0,7.0,2022-23,0.0,2.0,L,MIN,113.1,101.55
4.0,1.0,3.0,1.0,0.0,0.0,14.0,6.0,0.429,10.0,8.0,0.8,2022-11-07,0,HOU @ ORL,29.0,ORL,7.0,2.0,Alperen Sengun,6.0,20.0,10.0,2022-23,2.0,3.0,W,ORL,113.7,99.66
1.0,3.0,5.0,0.0,0.0,0.0,8.0,5.0,0.625,7.0,7.0,1.0,2022-11-09,0,HOU @ TOR,30.0,TOR,3.0,2.0,Alperen Sengun,-13.0,17.0,8.0,2022-23,1.0,3.0,L,TOR,113.1,97.85
1.0,0.0,3.0,1.0,0.0,0.0,6.0,3.0,0.5,0.0,0.0,0.0,2022-11-12,0,HOU @ NOP,19.0,NOP,0.0,6.0,Alperen Sengun,-5.0,6.0,3.0,2022-23,1.0,1.0,L,NO,112.0,99.58
1.0,0.0,3.0,2.0,0.0,0.0,11.0,6.0,0.545,6.0,4.0,0.667,2022-11-14,1,HOU vs LAC,30.0,LAC,1.0,5.0,Alperen Sengun,-11.0,16.0,4.0,2022-23,0.0,4.0,L,LAC,114.09451776649748,99.78598646362097
1.0,5.0,3.0,0.0,0.0,0.0,10.0,5.0,0.5,5.0,4.0,0.8,2022-11-16,0,HOU @ DAL,26.0,DAL,4.0,2.0,Alperen Sengun,-7.0,14.0,7.0,2022-23,0.0,4.0,W,DAL,116.1,97.21
4.0,0.0,6.0,1.0,1.0,1.0,13.0,4.0,0.308,2.0,2.0,1.0,2022-11-18,1,HOU vs IND,28.0,IND,3.0,4.0,Alperen Sengun,4.0,11.0,9.0,2022-23,1.0,1.0,L,IND,117.1,101.68
3.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,0.333,2.0,2.0,1.0,2022-11-20,1,HOU vs GSW,23.0,GSW,1.0,3.0,Alperen Sengun,-1.0,4.0,7.0,2022-23,1.0,3.0,L,GS,113.4,102.54
7.0,2.0,13.0,1.0,0.0,0.0,17.0,10.0,0.588,1.0,1.0,1.0,2022-11-26,1,HOU vs OKC,35.0,OKC,6.0,6.0,Alperen Sengun,17.0,21.0,19.0,2022-23,3.0,3.0,W,OKC,113.2,101.94
