TEAM,TEAM_ABBREVIATION,SEASON,DEF_RATING,PACE
,ATL,2022-23,115.4,101.56
,BKN,2022-23,113.5,98.77
,BOS,2022-23,110.6,99.15
,CHA,2022-23,114.7,101.47
,CHI,2022-23,111.5,99.18
,CLE,2022-23,109.9,96.27
,DAL,2022-23,116.1,97.21
,DEN,2022-23,113.5,98.74
,DET,2022-23,117.8,99.88
,GSW,2022-23,113.4,102.54
,HOU,2022-23,118.6,99.74
,IND,2022-23,117.1,101.68
,LAL,2022-23,113.2,101.92
,MEM,2022-23,110.7,101.5
,MIA,2022-23,112.8,96.76
,MIL,2022-23,110.9,101.45
,MIN,2022-23,113.1,101.55
,NOP,2022-23,112.0,99.58
,NYK,2022-23,114.2,97.75
,OKC,2022-23,113.2,101.94
,ORL,2022-23,113.7,99.66
,PHI,2022-23,112.7,97.44
,PHX,2022-23,112.3,98.83
,POR,2022-23,118.0,99.25
,SAC,2022-23,116.0,100.99
,SAS,2022-23,119.6,102.07
,TOR,2022-23,113.1,97.85
,UTA,2022-23,116.0,101.02
,WAS,2022-23,114.9,99.16
,,2022-23,113.6,98.84
,ATL,2023-24,118.4,100.84
,BKN,2023-24,115.4,97.56
,BOS,2023-24,110.6,97.98
,CHA,2023-24,119.2,97.81
,CHI,2023-24,115.7,96.94
,CLE,2023-24,112.1,97.62
,DAL,2023-24,114.9,100.6
,DEN,2023-24,112.3,97.43
,DET,2023-24,118.0,100.45
,GSW,2023-24,114.5,99.91
,HOU,2023-24,112.8,99.59
,IND,2023-24,117.6,102.16
,LAL,2023-24,114.8,101.38
,MEM,2023-24,113.7,98.68
,MIA,2023-24,111.5,96.88
,MIL,2023-24,115.0,100.51
,MIN,2023-24,108.4,97.79
,NOP,2023-24,111.9,98.7
,NYK,2023-24,112.4,95.96
,OKC,2023-24,111.0,100.85
,ORL,2023-24,110.8,97.37
,PHI,2023-24,113.0,98.17
,PHX,2023-24,113.7,99.0
,POR,2023-24,116.6,97.88
,SAC,2023-24,114.4,99.46
,SAS,2023-24,115.6,101.8
,TOR,2023-24,118.1,99.91
,UTA,2023-24,119.6,100.26
,WAS,2023-24,118.9,103.07
,,2023-24,114.6,97.93
,ATL,2024-25,114.8,103.41
,BKN,2024-25,115.4,96.73
,BOS,2024-25,110.1,96.59
,CHA,2024-25,115.7,98.22
,CHI,2024-25,114.8,103.61
,CLE,2024-25,111.8,100.31
,DAL,2024-25,115.0,100.15
,DEN,2024-25,115.1,100.67
,DET,2024-25,112.5,100.27
,GSW,2024-25,111.0,99.37
,HOU,2024-25,110.3,99.03
,IND,2024-25,113.3,100.76
,LAL,2024-25,113.8,98.34
,MEM,2024-25,112.6,103.69
,MIA,2024-25,112.0,97.08
,MIL,2024-25,112.7,99.92
,MIN,2024-25,110.8,97.95
,NOP,2024-25,119.1,99.77
,NYK,2024-25,113.3,97.64
,OKC,2024-25,106.6,100.9
,ORL,2024-25,109.1,96.51
,PHI,2024-25,117.3,98.13
,PHX,2024-25,117.7,98.31
,POR,2024-25,113.7,99.51
,SAC,2024-25,115.3,98.91
,SAS,2024-25,116.3,100.08
,TOR,2024-25,113.6,100.62
,UTA,2024-25,119.4,100.85
,WAS,2024-25,118.0,101.82
,,2024-25,109.4,98.24
Atlanta,ATL,2025-26,113.2,103.6
Boston,BOS,2025-26,111.6,99.1
Brooklyn,BRK,2025-26,114.3,100.3
Chicago,CHI,2025-26,115.2,103.5
Charlotte,CHO,2025-26,116.7,100.4
Cleveland,CLE,2025-26,111.3,104.2
Dallas,DAL,2025-26,111.5,102.8
Denver,DEN,2025-26,114.9,101.6
Detroit,DET,2025-26,108.3,103.7
Golden State,GSW,2025-26,110.5,102.6
Houston,HOU,2025-26,110.9,97.5
Indiana,IND,2025-26,114.5,103.3
LA Clippers,LAC,2025-26,114.3,98.8
LA Lakers,LAL,2025-26,115.2,101.6
Memphis,MEM,2025-26,111.8,104.4
Miami,MIA,2025-26,109.3,105.4
Milwaukee,MIL,2025-26,113.6,101.1
Minnesota,MIN,2025-26,109.8,101.5
New Orleans,NOP,2025-26,117.9,103.2
New York,NYK,2025-26,112.4,100.3
Oklahoma City,OKC,2025-26,103.0,102.7
Orlando,ORL,2025-26,111.4,102.8
Philadelphia,PHI,2025-26,111.3,101.1
Phoenix,PHO,2025-26,110.9,102.1
Portland,POR,2025-26,114.0,103.4
Sacramento,SAC,2025-26,117.1,103.2
San Antonio,SAS,2025-26,110.6,101.3
Toronto,TOR,2025-26,110.6,100.2
Utah,UTA,2025-26,119.6,104.6
Washington,WAS,2025-26,118.2,103.7
