TEAM_ABBREVIATION,SEASON,DEF_RATING,OFF_RATING,PACE,TEAM
DEN,2025-26,114.9,121.6,101.6,Denver
NYK,2025-26,112.4,118.6,100.3,New York
HOU,2025-26,110.9,118.3,97.5,Houston
OKC,2025-26,103.0,118.0,102.7,Oklahoma City
BOS,2025-26,111.6,118.0,99.1,Boston
SAS,2025-26,110.6,116.3,101.3,San Antonio
LAL,2025-26,115.2,115.8,101.6,LA Lakers
MIN,2025-26,109.8,115.1,101.5,Minnesota
CLE,2025-26,111.3,114.2,104.2,Cleveland
DET,2025-26,108.3,113.7,103.7,Detroit
LAC,2025-26,114.3,112.9,98.8,LA Clippers
MIA,2025-26,109.3,112.7,105.4,Miami
PHO,2025-26,110.9,112.7,102.1,Phoenix
ATL,2025-26,113.2,112.6,103.6,Atlanta
ORL,2025-26,111.4,112.6,102.8,Orlando
UTA,2025-26,119.6,112.6,104.6,Utah
CHI,2025-26,115.2,112.3,103.5,Chicago
PHI,2025-26,111.3,112.2,101.1,Philadelphia
MIL,2025-26,113.6,112.0,101.1,Milwaukee
CHO,2025-26,116.7,111.9,100.4,Charlotte
TOR,2025-26,110.6,111.5,100.2,Toronto
GSW,2025-26,110.5,111.4,102.6,Golden State
NOP,2025-26,117.9,110.7,103.2,New Orleans
POR,2025-26,114.0,110.1,103.4,Portland
MEM,2025-26,111.8,109.8,104.4,Memphis
WAS,2025-26,118.2,109.0,103.7,Washington
BRK,2025-26,114.3,108.3,100.3,Brooklyn
DAL,2025-26,111.5,107.4,102.8,Dallas
SAC,2025-26,117.1,106.7,103.2,Sacramento
IND,2025-26,114.5,106.3,103.3,Indiana
